id,lastLevel,totalSessions,dailySessions,totalAge,winRate,target
0,22,4,4,0,1.0,0.2246
1,170,3,1,30,0.7333,0.0
2,7,4,1,12,1.0,0.2322
3,3,1,1,0,1.0,0.0
4,49,16,2,317,0.8567,0.5388
5,7,3,3,0,1.0,0.2216
6,26,24,12,1,0.9105,0.0
7,23,3,3,0,0.9583,0.0
8,24,9,2,2,0.9792,0.0
9,172,159,2,63,0.7319,0.2576
10,4,3,3,0,1.0,0.0
11,7,5,1,0,1.0,0.0
12,21,10,10,0,1.0,0.2323
13,3,3,3,0,1.0,0.0
14,6,1,1,0,1.0,0.0
15,3,2,1,0,1.0,0.0
16,463,322,8,48,0.7759,0.3006
17,271,67,6,12,0.7735,0.2228
18,9,8,2,4,1.0,0.2252
19,23,6,3,1,0.9242,0.0
20,4,3,1,0,1.0,0.0
21,66,85,7,11,0.6979,0.0
22,3,4,2,0,0.75,0.0
23,117,50,7,50,0.8011,0.2526
24,50,9,1,50,0.949,0.2676
25,528,916,7,165,0.5313,0.412
26,8,6,6,0,1.0,0.2256
27,1,1,1,0,1.0,0.0
28,47,18,6,2,0.9722,0.2269
29,28,2,2,0,0.8981,0.0
30,368,46,2,68,0.6913,0.2708
31,34,20,1,48,0.9706,0.2688
32,93,289,24,11,0.955,0.2748
33,3,3,1,1,1.0,0.0
34,66,248,5,105,0.7333,0.2997
35,57,44,2,104,0.8181,0.3015
36,1,1,1,0,1.0,0.0
37,3,2,2,0,1.0,0.0
38,2,2,2,0,1.0,0.0
39,11,2,1,23,1.0,0.2445
40,56,23,3,78,0.825,0.2748
41,4,2,1,0,1.0,0.0
42,16,6,1,49,0.9062,0.2531
43,6,13,1,16,1.0,0.2369
44,3,7,3,8,1.0,0.23
45,10,10,5,1,0.8889,0.0
46,15,12,3,3,0.9375,0.0
47,29,19,3,86,0.9653,0.3108
48,32,9,1,40,0.9167,0.2476
49,349,3,3,0,0.8846,0.2359
50,35,6,1,18,1.0,0.2421
51,7,3,3,0,1.0,0.2216
52,3,2,2,0,1.0,0.0
53,130,11,1,23,0.6667,0.0
54,13,15,3,2,1.0,0.2251
55,2,2,2,0,1.0,0.0
56,6,15,2,133,0.75,0.3107
57,9,7,1,23,1.0,0.2445
58,8,7,1,20,1.0,0.2412
59,22,2,2,0,1.0,0.2221
60,15,12,3,42,0.8688,0.24
61,77,80,3,47,0.8034,0.2419
62,7,2,2,0,0.5,0.0
63,69,11,3,39,0.9643,0.2637
64,3,2,2,0,1.0,0.0
65,28,2,1,0,0.6667,0.0
66,26,37,3,25,0.729,0.0
67,9,3,1,1,0.9074,0.0
68,1,5,1,0,1.0,0.0
69,554,912,8,128,0.6144,0.394
70,110,4,1,7,0.0,0.0
71,31,8,2,28,0.9821,0.2499
72,233,211,3,207,0.6517,0.4074
73,32,2,2,0,1.0,0.2232
74,63,21,5,25,0.8929,0.2353
75,3,2,2,0,1.0,0.0
76,61,11,2,2,0.9126,0.0
77,2,1,1,0,1.0,0.0
78,6,2,1,7,1.0,0.2266
79,43,42,14,2,0.8663,0.0
80,19,5,2,1,0.9188,0.0
81,49,42,5,38,0.7893,0.2263
82,376,76,5,77,0.6713,0.2824
83,10,4,4,0,1.0,0.2232
84,40,1,1,0,0.9706,0.0
85,63,33,4,21,0.8692,0.2251
86,100,91,4,246,0.8989,0.4833
87,5,3,1,1,1.0,0.0
88,8,1,1,0,1.0,0.0
89,9,17,5,2,1.0,0.2272
90,490,195,4,77,0.7453,0.3168
91,26,9,1,10,1.0,0.2325
92,122,34,2,102,0.786,0.2993
93,5,4,2,2,1.0,0.2224
94,18,5,1,13,0.8158,0.0
95,49,4,2,1,0.75,0.0
96,1045,2110,8,267,0.5332,0.6474
97,7,5,5,0,1.0,0.2242
98,116,13,3,105,0.9091,0.3289
99,133,200,3,99,0.477,0.2399
100,11,8,2,29,1.0,0.2526
101,1,1,1,0,1.0,0.0
102,43,15,1,32,0.9104,0.2391
103,12,5,5,0,1.0,0.2248
104,30,2,2,0,0.9667,0.0
105,23,7,3,1,1.0,0.2248
106,17,8,2,11,0.902,0.0
107,28,12,1,205,0.798,0.4005
108,4,1,1,0,1.0,0.0
109,126,3,1,16,0.6533,0.0
110,7,3,1,15,1.0,0.2354
111,362,169,7,47,0.2769,0.0
112,27,18,3,41,0.888,0.2448
113,13,3,1,20,1.0,0.2415
114,56,2,2,0,0.5,0.0
115,97,113,2,91,0.8318,0.2987
116,5,3,1,1,1.0,0.0
117,22,6,1,37,0.9,0.2394
118,1,1,1,0,1.0,0.0
119,2,3,1,0,1.0,0.0
120,22,17,2,86,0.8986,0.2941
121,1,1,1,0,1.0,0.0
122,35,62,6,83,0.8288,0.2844
123,2,2,1,0,1.0,0.0
124,41,7,1,53,0.8737,0.2532
125,16,3,1,1,0.9688,0.0
126,1,1,1,0,1.0,0.0
127,10,9,1,71,0.8636,0.2671
128,32,18,2,24,1.0,0.2501
129,10,2,1,1,1.0,0.0
130,1,1,1,0,1.0,0.0
131,28,13,1,31,0.7642,0.0
132,32,14,2,231,0.52,0.3698
133,2,2,2,0,1.0,0.0
134,6,4,2,2,1.0,0.2225
135,14,6,1,82,1.0,0.3091
136,51,42,3,22,0.8755,0.2255
137,1,1,1,0,1.0,0.0
138,63,28,1,170,0.7962,0.367
139,1,1,1,0,1.0,0.0
140,32,17,2,142,0.8933,0.3549
141,21,13,3,5,1.0,0.2292
142,48,30,3,8,0.8304,0.0
143,113,1,1,0,0.5,0.0
144,22,19,2,11,0.7645,0.0
145,63,16,1,106,0.7455,0.2858
146,13,3,1,21,1.0,0.2426
147,1,1,1,0,1.0,0.0
148,824,8,1,55,0.8,0.3299
149,3,3,3,0,1.0,0.0
150,32,5,1,5,0.9375,0.0
151,43,3,1,1,0.5,0.0
152,597,534,2,255,0.7166,0.5317
153,1,1,1,0,1.0,0.0
154,184,171,6,30,0.6626,0.0
155,82,118,2,290,0.5927,0.461
156,3,1,1,0,1.0,0.0
157,27,6,2,11,0.3125,0.0
158,49,3,1,3,0.9062,0.0
159,8,4,4,0,1.0,0.223
160,23,4,1,2,0.9167,0.0
161,7,5,2,2,1.0,0.2226
162,256,11,2,71,0.5,0.0
163,63,26,1,159,0.9434,0.3871
164,3,3,3,0,1.0,0.0
165,146,73,5,26,0.8531,0.24
166,50,28,2,100,0.8311,0.2984
167,1,2,2,0,1.0,0.0
168,6,2,2,0,1.0,0.0
169,5,1,1,0,1.0,0.0
170,35,9,1,26,0.1,0.0
171,286,34,1,71,0.2955,0.0
172,41,22,3,190,0.9444,0.4207
173,45,11,1,8,0.9674,0.2255
174,41,16,8,1,0.8929,0.0
175,328,927,7,164,0.4728,0.3756
176,17,11,3,2,0.9832,0.2217
177,18,3,3,0,0.8182,0.0
178,5,3,3,0,1.0,0.0
179,46,19,3,11,0.9891,0.2365
180,290,4,4,0,1.0,0.2556
181,1,2,2,0,1.0,0.0
182,808,230,7,62,0.9,0.3767
183,1,1,1,0,1.0,0.0
184,4,2,1,2,1.0,0.0
185,9,4,2,1,1.0,0.2217
186,62,17,2,8,0.8796,0.0
187,10,3,3,0,1.0,0.222
188,2,2,2,0,1.0,0.0
189,111,57,3,34,0.8761,0.2464
190,1,2,2,0,1.0,0.0
191,673,14,3,3,1.0,0.3024
192,23,9,2,57,0.9457,0.2726
193,43,12,2,9,0.9037,0.0
194,32,6,3,1,0.9297,0.0
195,5,1,1,0,1.0,0.0
196,1,1,1,0,1.0,0.0
197,31,2,2,0,0.8931,0.0
198,7,2,2,0,1.0,0.0
199,280,316,6,134,0.477,0.3048
200,11,1,1,0,1.0,0.0
201,23,4,1,0,1.0,0.0
202,181,86,1,199,0.63,0.3789
203,340,14,4,20,0.3,0.0
204,11,2,2,0,1.0,0.0
205,2,1,1,0,1.0,0.0
206,10,5,5,0,1.0,0.2245
207,52,17,4,6,0.9167,0.0
208,17,5,1,97,1.0,0.3257
209,1,1,1,0,1.0,0.0
210,2,2,1,39,1.0,0.2608
211,68,64,2,98,0.6872,0.2687
212,95,119,7,16,0.7464,0.0
213,5,3,1,6,1.0,0.2254
214,33,11,1,21,0.9314,0.2304
215,261,334,12,35,0.6445,0.24
216,61,14,1,27,0.9833,0.2516
217,2,1,1,0,1.0,0.0
218,23,3,1,6,0.9375,0.0
219,14,7,3,1,1.0,0.2237
220,4,1,1,0,1.0,0.0
221,14,10,5,0,1.0,0.2253
222,13,10,5,22,0.8929,0.2256
223,1,1,1,0,1.0,0.0
224,22,5,1,3,0.9167,0.0
225,27,9,4,136,0.875,0.3458
226,26,13,2,15,0.95,0.2285
227,82,21,10,1,0.9347,0.2267
228,2,1,1,0,0.6667,0.0
229,3,9,9,0,1.0,0.2289
230,11,2,1,1,1.0,0.0
231,318,145,4,53,0.7422,0.2676
232,726,221,8,224,0.9626,0.5575
233,4,2,2,0,1.0,0.0
234,23,12,1,18,0.8457,0.0
235,42,10,3,55,0.91,0.2661
236,7,3,3,0,1.0,0.2216
237,1,1,1,0,1.0,0.0
238,1,1,1,0,1.0,0.0
239,320,278,11,86,0.6053,0.2895
240,43,4,4,0,0.9167,0.0
241,28,6,2,2,0.91,0.0
242,23,36,4,46,0.9375,0.2627
243,165,44,2,30,0.7844,0.2263
244,1106,333,5,149,0.7226,0.4698
245,5,2,1,3,1.0,0.2221
246,22,8,4,0,0.9773,0.0
247,10,2,1,1,1.0,0.0
248,121,2,1,47,0.0,0.0
249,48,62,3,21,0.8921,0.2287
250,13,6,3,2,0.8452,0.0
251,49,12,3,3,0.8245,0.0
252,2,3,1,67,1.0,0.2913
253,14,16,5,2,0.7564,0.0
254,104,100,3,84,0.7719,0.2793
255,20,8,2,15,1.0,0.2384
256,6,1,1,0,1.0,0.0
257,1014,14,7,100,0.7726,0.4025
258,10,3,3,0,0.95,0.0
259,115,159,7,26,0.6917,0.0
260,4,2,2,0,1.0,0.0
261,41,5,1,16,0.0,0.0
262,98,38,2,18,0.8236,0.0
263,33,14,4,7,0.9167,0.0
264,32,5,1,37,0.9375,0.2486
265,26,7,3,3,0.9,0.0
266,8,3,1,1,1.0,0.0
267,48,24,4,10,0.9643,0.2318
268,2,1,1,0,1.0,0.0
269,2,1,1,0,1.0,0.0
270,21,7,1,2,0.75,0.0
271,4,3,1,2,1.0,0.0
272,63,18,1,30,0.6466,0.0
273,4,5,1,70,0.8,0.2512
274,12,7,3,1,1.0,0.2235
275,150,7,2,2,0.5571,0.0
276,18,12,6,13,0.9722,0.2351
277,15,2,2,0,1.0,0.0
278,106,192,4,102,0.5818,0.2637
279,22,5,1,4,1.0,0.2253
280,34,18,3,6,1.0,0.232
281,3,5,5,0,1.0,0.2237
282,38,15,3,14,0.9145,0.2224
283,15,2,2,0,1.0,0.0
284,176,53,2,22,0.7429,0.0
285,1156,894,5,191,1.0,0.6115
286,1,1,1,0,1.0,0.0
287,9,4,1,28,1.0,0.2498
288,9,1,1,0,1.0,0.0
289,10,2,2,0,1.0,0.0
290,13,5,2,1,0.9286,0.0
291,134,77,3,124,0.4112,0.2463
292,22,7,3,11,0.9091,0.0
293,2,2,1,1,0.6667,0.0
294,15,2,2,0,0.9643,0.0
295,1,1,1,0,1.0,0.0
296,3,1,1,0,0.8333,0.0
297,4,3,3,0,1.0,0.0
298,5,1,1,0,1.0,0.0
299,2,1,1,0,1.0,0.0
300,9,3,1,20,1.0,0.2411
301,58,45,2,128,0.9454,0.3555
302,10,23,1,147,0.7879,0.3338
303,2,8,8,0,1.0,0.2275
304,4,3,1,4,1.0,0.2231
305,5,1,1,0,1.0,0.0
306,19,5,5,0,1.0,0.2256
307,1,1,1,0,1.0,0.0
308,7,1,1,0,1.0,0.0
309,8,7,1,4,1.0,0.2238
310,3,1,1,0,1.0,0.0
311,7,1,1,0,1.0,0.0
312,50,27,4,26,0.963,0.2492
313,8,2,1,2,1.0,0.0
314,13,4,2,1,1.0,0.2222
315,212,100,6,29,0.7139,0.2232
316,2,2,2,0,1.0,0.0
317,877,52,1,342,0.8571,0.6624
318,12,9,1,43,1.0,0.2667
319,2,1,1,0,1.0,0.0
320,5,3,3,0,1.0,0.0
321,3,3,1,1,1.0,0.0
322,55,86,8,132,0.726,0.3212
323,15,3,1,14,1.0,0.2353
324,37,39,4,81,0.9865,0.3132
325,4,29,5,5,1.0,0.2305
326,24,2,2,0,1.0,0.2223
327,22,3,1,2,0.9058,0.0
328,52,13,3,173,0.8969,0.3926
329,40,11,1,125,0.9857,0.356
330,6,5,1,14,1.0,0.2343
331,22,10,2,16,1.0,0.2398
332,52,22,2,34,0.8917,0.2398
333,9,6,3,176,1.0,0.4131
334,1,1,1,0,1.0,0.0
335,7,3,3,0,1.0,0.2216
336,23,5,2,1,0.8333,0.0
337,25,23,2,10,0.9423,0.2218
338,4,5,1,0,1.0,0.0
339,18,4,4,0,1.0,0.2242
340,6,9,1,11,1.0,0.2313
341,23,4,4,0,0.6,0.0
342,8,2,1,1,1.0,0.0
343,270,84,3,195,0.3505,0.3262
344,10,4,1,11,0.9,0.0
345,1,1,1,0,1.0,0.0
346,28,20,2,9,0.925,0.0
347,1,1,1,0,1.0,0.0
348,26,38,5,16,0.8036,0.0
349,11,1,1,0,1.0,0.0
350,31,17,4,2,1.0,0.2285
351,38,1,1,0,0.0,0.0
352,22,2,1,2,1.0,0.223
353,24,16,1,148,0.8928,0.359
354,4,1,1,0,1.0,0.0
355,571,397,8,57,0.6965,0.3095
356,1,1,1,0,1.0,0.0
357,7,4,2,26,1.0,0.2486
358,1,3,1,0,1.0,0.0
359,1,1,1,0,1.0,0.0
360,12,4,1,13,0.9583,0.2248
361,1,1,1,0,1.0,0.0
362,57,46,3,79,0.8828,0.2898
363,118,403,7,180,0.5888,0.3662
364,15,12,1,131,0.9375,0.3491
365,21,17,4,48,1.0,0.2773
366,7,2,2,0,1.0,0.0
367,17,17,3,61,0.902,0.2683
368,102,28,5,4,0.8253,0.0
369,23,12,2,9,0.8913,0.0
370,32,11,2,13,0.9531,0.2276
371,5,1,1,0,1.0,0.0
372,6,6,1,0,0.8571,0.0
373,25,13,3,9,0.8654,0.0
374,1,2,1,8,1.0,0.2271
375,3,1,1,0,1.0,0.0
376,17,8,4,16,0.9167,0.2234
377,1,2,1,0,1.0,0.0
378,27,5,1,103,0.8975,0.311
379,8,1,1,0,1.0,0.0
380,2047,254,2,236,0.8667,0.6966
381,6,1,1,0,0.9,0.0
382,77,42,4,12,0.8338,0.0
383,31,14,2,10,0.86,0.0
384,3,1,1,0,1.0,0.0
385,338,216,3,220,0.6152,0.426
386,1,1,1,0,1.0,0.0
387,223,3,1,0,1.0,0.2441
388,6,2,1,1,1.0,0.0
389,8,1,1,0,1.0,0.0
390,57,29,3,81,0.48,0.0
391,17,3,3,0,0.9706,0.0
392,966,330,3,166,1.0,0.53
393,3,1,1,0,1.0,0.0
394,1,1,1,0,1.0,0.0
395,24,16,5,30,0.8194,0.0
396,16,13,1,29,0.9375,0.2385
397,253,33,4,14,0.5164,0.0
398,25,7,2,2,0.9688,0.0
399,62,14,7,3,0.9213,0.0
400,19,11,2,2,0.9386,0.0
401,11,2,1,0,1.0,0.0
402,42,38,2,48,0.728,0.0
403,1,1,1,0,1.0,0.0
404,22,10,10,0,0.9091,0.0
405,3,2,2,0,1.0,0.0
406,170,96,3,155,0.8065,0.3714
407,9,7,7,0,0.85,0.0
408,22,8,1,9,0.9275,0.0
409,66,34,4,7,0.8821,0.0
410,2,4,4,0,1.0,0.2223
411,42,17,1,90,0.8806,0.2956
412,20,2,2,0,1.0,0.2218
413,3,4,2,2,1.0,0.2221
414,14,3,1,1,1.0,0.0
415,14,13,3,18,1.0,0.2425
416,25,12,4,12,0.9792,0.2339
417,29,9,3,1,0.875,0.0
418,9,8,2,0,1.0,0.0
419,3,3,1,69,1.0,0.2936
420,54,19,3,5,0.9023,0.0
421,7,2,1,43,1.0,0.2658
422,8,2,2,0,1.0,0.0
423,1,1,1,0,1.0,0.0
424,2,3,3,0,1.0,0.0
425,6,3,3,0,1.0,0.2215
426,132,94,15,5,0.7545,0.0
427,20,12,1,5,0.9917,0.2247
428,158,168,4,82,0.7932,0.2929
429,3,10,1,52,0.9167,0.2573
430,17,11,2,20,1.0,0.2437
431,10,2,1,5,1.0,0.2249
432,6,2,1,0,1.0,0.0
433,48,20,2,17,0.868,0.0
434,2,2,2,0,1.0,0.0
435,1,1,1,0,1.0,0.0
436,13,4,2,1,1.0,0.2222
437,1,4,2,0,1.0,0.0
438,7,6,1,0,1.0,0.0
439,1,1,1,0,1.0,0.0
440,3,2,2,0,1.0,0.0
441,1104,45,1,79,0.9524,0.4235
442,208,277,7,42,0.6115,0.2251
443,76,48,4,38,0.8135,0.2338
444,12,4,2,120,1.0,0.3513
445,12,5,2,1,0.9231,0.0
446,26,7,1,38,0.8549,0.2311
447,29,14,2,7,0.9483,0.0
448,4,4,4,0,1.0,0.2226
449,11,3,3,0,1.0,0.2221
450,5,5,1,170,1.0,0.4036
451,15,2,1,1,1.0,0.0
452,649,44,6,40,0.75,0.2905
453,3,2,2,0,1.0,0.0
454,33,4,1,1,0.8612,0.0
455,99,112,4,31,0.6275,0.0
456,1,1,1,0,1.0,0.0
457,6,3,3,0,1.0,0.2215
458,27,5,2,1,1.0,0.2239
459,28,5,1,124,0.9224,0.3393
460,28,8,1,22,0.5625,0.0
461,37,9,1,11,0.9861,0.2318
462,47,26,2,145,0.8967,0.3611
463,1,1,1,0,1.0,0.0
464,9,2,2,0,1.0,0.0
465,24,72,2,67,0.8942,0.2756
466,5,1,1,0,1.0,0.0
467,41,127,3,23,0.784,0.0
468,129,81,2,39,0.6091,0.0
469,17,9,3,8,0.9412,0.0
470,27,36,3,30,0.9683,0.2513
471,170,113,3,101,0.8265,0.3181
472,24,7,3,1,0.9722,0.0
473,1,1,1,0,1.0,0.0
474,30,14,3,2,0.9815,0.223
475,39,49,2,70,0.8721,0.2746
476,21,10,2,6,1.0,0.2289
477,12,2,1,3,1.0,0.2229
478,26,1,1,0,0.9198,0.0
479,4,3,1,60,1.0,0.2839
480,16,8,8,0,0.9,0.0
481,27,3,3,0,1.0,0.2239
482,38,8,4,1,0.9091,0.0
483,63,10,1,294,0.0833,0.345
484,594,4,2,0,1.0,0.2883
485,3,4,4,0,1.0,0.2224
486,4,7,7,0,1.0,0.2264
487,56,31,4,6,0.7868,0.0
488,2,3,3,0,1.0,0.0
489,1,3,1,1,1.0,0.0
490,5,2,2,0,1.0,0.0
491,3,4,1,21,1.0,0.2415
492,9,4,4,0,1.0,0.2231
493,24,17,2,34,0.9697,0.2534
494,124,4,2,7,0.8241,0.0
495,1,2,2,0,1.0,0.0
496,43,18,2,22,0.9545,0.2393
497,277,235,5,74,0.7031,0.2831
498,7,4,2,2,1.0,0.2226
499,19,4,2,9,0.9474,0.0
500,30,6,1,8,0.9833,0.227
501,15,2,2,0,1.0,0.0
502,21,8,4,6,1.0,0.2312
503,49,19,2,105,0.8744,0.3126
504,1,1,1,0,1.0,0.0
505,11,1,1,0,1.0,0.0
506,1,2,2,0,1.0,0.0
507,547,11,1,11,1.0,0.2939
508,1057,30,1,23,1.0,0.3669
509,26,9,2,33,0.963,0.2506
510,51,26,1,74,0.9152,0.2873
511,276,192,5,142,0.6449,0.3418
512,3,2,2,0,1.0,0.0
513,42,10,5,1,0.9215,0.0
514,21,3,3,0,1.0,0.2232
515,28,7,2,1,0.9655,0.0
516,98,40,1,236,0.8225,0.4491
517,1,1,1,0,1.0,0.0
518,3,3,3,0,1.0,0.0
519,38,15,3,5,0.8152,0.0
520,11,1,1,0,1.0,0.0
521,1021,85,4,79,0.1,0.2337
522,30,1,1,0,1.0,0.2217
523,66,2,1,1,0.9408,0.0
524,19,2,2,0,1.0,0.2217
525,49,13,2,6,0.8969,0.0
526,10,13,2,8,0.9815,0.2259
527,17,12,6,1,1.0,0.228
528,2,2,1,2,1.0,0.0
529,11,1,1,0,1.0,0.0
530,15,4,4,0,0.9643,0.0
531,22,17,1,63,0.9773,0.285
532,3,1,1,0,1.0,0.0
533,2,2,2,0,1.0,0.0
534,829,447,6,94,0.8,0.4023
535,13,5,1,118,1.0,0.348
536,142,1,1,0,0.5,0.0
537,1,1,1,0,1.0,0.0
538,1,1,1,0,1.0,0.0
539,5,1,1,0,1.0,0.0
540,16,5,1,9,0.9688,0.2232
541,6,4,4,0,1.0,0.2228
542,14,3,1,7,1.0,0.2275
543,31,17,8,1,0.8706,0.0
544,73,30,4,53,0.9474,0.278
545,1,1,1,0,1.0,0.0
546,2,2,2,0,1.0,0.0
547,62,35,4,9,0.8315,0.0
548,11,16,2,10,1.0,0.2324
549,2,1,1,0,1.0,0.0
550,113,11,5,1,0.9333,0.2233
551,19,28,5,41,1.0,0.2713
552,156,533,5,149,0.6455,0.3538
553,18,5,2,1,1.0,0.2228
554,9,9,1,26,0.8611,0.0
555,31,10,2,4,0.8994,0.0
556,25,3,3,0,0.8148,0.0
557,64,14,4,11,0.9318,0.2271
558,27,19,3,5,0.8877,0.0
559,73,54,5,14,0.8744,0.2222
560,23,10,1,18,0.8725,0.0
561,3,1,1,0,1.0,0.0
562,23,1,1,0,1.0,0.0
563,42,10,1,26,0.8495,0.0
564,56,31,6,62,0.9762,0.2946
565,117,59,6,17,0.7923,0.0
566,2,1,1,0,1.0,0.0
567,10,2,2,0,0.9565,0.0
568,6,2,2,0,1.0,0.0
569,3,3,3,0,1.0,0.0
570,5,6,3,3,1.0,0.2248
571,42,16,2,110,0.8659,0.3152
572,597,1760,11,242,0.6722,0.584
573,16,8,1,71,0.8958,0.2748
574,2,2,2,0,1.0,0.0
575,118,36,1,182,0.7011,0.366
576,42,18,3,7,0.9496,0.223
577,23,4,2,2,0.8222,0.0
578,6,3,1,0,1.0,0.0
579,5,4,4,0,1.0,0.2227
580,11,5,1,15,1.0,0.236
581,3,2,2,0,1.0,0.0
582,783,26,1,188,1.0,0.5141
583,119,1,1,0,0.0,0.0
584,5,1,1,0,1.0,0.0
585,5,4,2,2,1.0,0.2224
586,27,29,1,166,0.9444,0.3909
587,1,2,1,0,1.0,0.0
588,146,323,4,104,0.0596,0.0
589,13,5,1,3,1.0,0.2232
590,3,7,3,0,1.0,0.0
591,530,685,4,162,0.4381,0.3726
592,23,4,4,0,0.8636,0.0
593,5,2,2,0,1.0,0.0
594,105,8,2,1,0.9451,0.0
595,19,20,1,24,1.0,0.2475
596,48,18,9,1,0.949,0.2245
597,182,7,1,2,0.8667,0.0
598,1,1,1,0,1.0,0.0
599,42,6,3,1,0.8611,0.0
600,1,2,2,0,0.5,0.0
601,1,4,2,0,1.0,0.0
602,1,5,2,0,1.0,0.0
603,95,57,19,2,0.8102,0.0
604,2,1,1,0,1.0,0.0
605,24,3,1,27,0.9514,0.2398
606,13,5,2,40,1.0,0.2646
607,16,9,1,9,1.0,0.2303
608,42,22,3,5,0.975,0.2266
609,1,1,1,0,1.0,0.0
610,23,7,2,5,0.875,0.0
611,3,1,1,0,1.0,0.0
612,15,15,2,40,0.9375,0.2517
613,47,21,2,77,0.8976,0.2872
614,5,1,1,0,1.0,0.0
615,3,1,1,0,1.0,0.0
616,11,15,2,34,1.0,0.2584
617,23,10,3,2,0.8732,0.0
618,15,7,3,0,1.0,0.2227
619,1,1,1,0,1.0,0.0
620,13,3,1,112,1.0,0.3414
621,6,2,1,1,1.0,0.0
622,6,1,1,0,1.0,0.0
623,100,70,2,91,0.735,0.2756
624,15,7,3,95,1.0,0.3259
625,47,14,3,4,0.9375,0.0
626,42,23,1,17,0.7778,0.0
627,24,4,1,6,1.0,0.2277
628,34,11,5,1,0.8462,0.0
629,22,2,2,0,0.9318,0.0
630,9,9,1,7,1.0,0.2273
631,23,6,3,1,0.8393,0.0
632,4,5,1,62,1.0,0.2862
633,15,1,1,0,1.0,0.0
634,66,4,1,13,0.3333,0.0
635,339,12,1,66,0.5543,0.2323
636,1,1,1,0,1.0,0.0
637,8,2,2,0,1.0,0.0
638,264,7,1,42,0.875,0.2674
639,2,1,1,0,1.0,0.0
640,1,2,2,0,1.0,0.0
641,9,3,1,62,1.0,0.2867
642,43,61,2,45,0.8365,0.2408
643,6,1,1,0,1.0,0.0
644,13,7,1,24,1.0,0.2461
645,15,27,3,19,0.8164,0.0
646,22,3,3,0,0.9773,0.0
647,71,46,1,34,0.881,0.2397
648,27,8,1,15,0.9107,0.0
649,1,3,1,170,1.0,0.403
650,3,1,1,0,1.0,0.0
651,31,11,2,5,0.9111,0.0
652,9,5,2,1,1.0,0.2218
653,17,7,3,4,0.9412,0.0
654,13,4,2,11,1.0,0.2331
655,737,174,6,162,0.6692,0.4224
656,6,2,1,8,1.0,0.2276
657,2,3,3,0,1.0,0.0
658,114,239,5,89,0.6227,0.2632
659,31,11,3,20,0.9479,0.2351
660,10,2,2,0,1.0,0.0
661,174,192,7,56,0.4457,0.0
662,48,10,5,30,0.9884,0.2592
663,1,1,1,0,1.0,0.0
664,82,32,3,59,0.9018,0.2744
665,3,2,2,0,1.0,0.0
666,10,8,2,19,1.0,0.2416
667,17,3,3,0,1.0,0.2228
668,14,5,1,41,1.0,0.2646
669,1,1,1,0,1.0,0.0
670,29,38,3,20,0.8117,0.0
671,621,311,3,115,0.4585,0.3155
672,35,9,1,207,0.9286,0.4318
673,57,6,3,1,0.9583,0.0
674,23,9,1,9,0.8958,0.0
675,4,1,1,0,1.0,0.0
676,49,32,1,116,0.7899,0.3056
677,21,7,1,1,1.0,0.222
678,39,143,4,71,0.8976,0.2887
679,662,218,10,20,1.0,0.3391
680,1,1,1,0,1.0,0.0
681,47,1,1,0,0.6667,0.0
682,1,3,1,76,1.0,0.3009
683,99,30,6,146,0.914,0.3771
684,4,3,3,0,1.0,0.0
685,25,2,1,1,0.98,0.0
686,245,33,2,28,0.4972,0.0
687,1,1,1,0,1.0,0.0
688,215,267,2,160,0.8986,0.41
689,49,23,3,15,0.8879,0.0
690,15,6,1,91,0.8958,0.2963
691,14,2,2,0,0.9286,0.0
692,26,1,1,0,0.5,0.0
693,42,18,6,3,0.938,0.0
694,1,2,2,0,1.0,0.0
695,12,16,3,6,0.9333,0.0
696,10,2,1,1,1.0,0.0
697,31,9,3,18,0.9583,0.2351
698,8,4,2,2,1.0,0.2227
699,29,2,1,1,0.9375,0.0
700,21,3,3,0,0.9762,0.0
701,4,3,1,1,1.0,0.0
702,586,21,3,54,1.0,0.3481
703,37,20,2,7,0.7648,0.0
704,66,4,1,53,0.8048,0.2409
705,142,27,4,14,0.898,0.2327
706,34,20,5,3,0.9179,0.0
707,2,1,1,0,1.0,0.0
708,41,7,1,10,0.9756,0.2288
709,30,10,5,204,0.9833,0.4449
710,110,43,3,25,0.8974,0.2404
711,63,41,10,3,0.8273,0.0
712,3,8,1,2,0.75,0.0
713,16,3,3,0,1.0,0.2226
714,1,2,1,53,1.0,0.2759
715,20,7,2,12,0.9833,0.2315
716,9,1,1,0,1.0,0.0
717,48,14,2,7,0.9575,0.224
718,35,14,2,7,0.9417,0.0
719,27,11,5,1,0.8685,0.0
720,1,1,1,0,1.0,0.0
721,15,5,5,0,1.0,0.2251
722,20,1,1,0,1.0,0.0
723,2,2,1,0,1.0,0.0
724,23,3,1,3,0.9493,0.0
725,55,61,3,46,0.8528,0.248
726,131,63,2,60,0.8246,0.2647
727,28,16,1,67,0.875,0.2677
728,139,92,4,71,0.7473,0.2647
729,16,11,1,114,1.0,0.3444
730,52,31,10,2,0.7637,0.0
731,11,2,2,0,1.0,0.0
732,12,6,1,56,1.0,0.2807
733,25,4,1,7,0.9733,0.223
734,22,8,2,2,0.9565,0.0
735,28,18,1,173,0.931,0.3951
736,14,9,3,42,0.9643,0.2605
737,1,1,1,0,1.0,0.0
738,10,3,3,0,1.0,0.222
739,14,7,1,39,0.869,0.2339
